,Provider Name,Complete Address,Contact No.
590,MEDWORKS DIAGNOSTIC LABORATORY AND MEDICAL SERVICES INC.,JOSE MARIA DEL MAR AVENUE APAS CEBU CITY CEBU,(032) 236-6685
591,"SOUTH BACOLOD GENERAL HOSPITAL AND MEDICAL CENTER, INC.",ARANETA HIGHWAY BRGY PAHANOCOY BACOLOD CITY NEGROS OCCIDENTAL,(033) 213-1161
592,CABUYAO PHARMACY AND MEDICAL OPC (FORMERLY CABUYAO MEDICAL CLINIC AND PHARMACY),#83 LIMCAOCO SUBDIVISION BRGY. 3  CABUYAO LAGUNA,(049) 531-0192
593,ACE DIAGNOSTICS CORPORATION (FAIRVIEW BRANCH),"UNIT 4 & 5 CPE BUILDING, MARIANO MARCOS AVENUE  QUEZON CITY METRO MANILA",(02) 8461-3901; (0917) 562-5222
594,ACE DIAGNOSTICS CORPORATION (NOVALICHES BRANCH),"789 BRGY. GULOD, QUIRINO HIWAY NOVALICHES QUEZON CITY METRO MANILA",(02) 8983-1968; (0998)989-9178; (0917)558-4426; (0
595,METRO BACOLOD KIDNEY CENTER INC,18TH AGUINALDO STREET  BACOLOD CITY NEGROS OCCIDENTAL,(034) 431-1762
596,DOCLTP MEDILAB CENTER,"RM 302 DR J C BORROMEO BLDG., GOV. M ROA STREET  BRGY. CAPITOL SITE CEBU CITY CEBU",(032) 511-1833
597,FASTMED MEDICAL DIAGNOSTICS & HEALTHCARE SERVICES,"2/F SANFEL COMMERCIAL BUILDING, MC ARTHUR HIGHWAY, MARISOL  ANGELES CITY PAMPANGA",(045) 625-0086
598,THE MEDICAL CITY CLARK INC,100 GATWICK GATEWAY SABAH AL AHMAD GLOBAL GATEWAY LOGISTICS CITY CLARK FREEPORT ZONE FREEPORT ZONE ANGELES CITY PAMPANGA,(045) 300-8888
599,STA. CATALINA LABORATORY & SPECIALTY CLINICS,UPPER GENERAL LUNA STREET POBLACION CARCAR CEBU,(032) 487-7598
600,MANILA HEARING AID CENTER INC. (QUEZON CITY BRANCH),"14 INTEGRATED PROFESSIONAL OFFICE BLDG.,  QUEZON AVENUE  QUEZON CITY METRO MANILA",02.8712.3630 / 02.8712.3623 / 0936.606.0649
601,THE MEDICAL CITY CLINIC (MARKET MARKET BRANCH),3/F MARKET MARKET MCKINLEY PKWY  TAGUIG CITY METRO MANILA,(02) 8886-9996 / 8887-1436 / 8886-9875
602,MDLP MEDICAL CENTER CORPORATION (FORMERLY MEDTRUST DIAGNOSTIC LABORATORY AND PHARMACY),TEELSIGHT MAC ARTHUR HIGHWAY SINDALAN  SAN FERNANDO CITY PAMPANGA,(045) 409-3052
603,ST. JOSEPH HOSPITAL OF REMEDIOS INC,GAPAN OLONGAPO ROAD CENTRO I BARANGAY REMEDIOS LUBAO PAMPANGA,(045) 4040-052; (0917)728-1067
604,HI-PRECISION DIAGNOSTICS PLUS (STA. ROSA BRANCH),"UNIT 01-05, 16-20, G/F LAGUNA CENTRAL BLDG., PASEO OUTLETS, GREENFIELD CITY, SANTA ROSA-TAGAYTAY ROAD DON JOSE SANTA ROSA CITY LAGUNA",(049) 543-6661 / 264-2858
605,CARLOS MEDICAL & MATERNITY CLINIC,0911 MANILA EAST ROAD  BRGY. LOOC  CARDONA RIZAL,(02) 8652-0011
606,SAVIOUR MEDICAL AND DENTAL COOPERATIVE (FORMERLY PAMANA MEDICAL CENTER),NATIONAL HIGHWAY  BRGY HALANG CALAMBA CITY LAGUNA,(049) 554-9690 - 94
608,CARCAR HEALTH CARE CLINIC & DIAGNOSTIC CENTER,"P BURGOS STREET, POBLACION II  CARCAR CEBU",(032) 487-8839
610,CARCAR WOMEN AND CHILDREN LYING-IN POLYCLINIC & LABORATORY,BARRACA BRGY. POBLACION II CARCAR CEBU,(032) 4878458
611,LAGUNA DIAGNOSTIC CENTER (CALAMBA BRANCH - MAIN),LAGUNA DIAGNOSTIC CENTER BUILDING BRGY. 1 POBLACION 1 C CALAMBA CITY LAGUNA,(049) 834-6333
612,LAGUNA DIAGNOSTIC CENTER (TANAUAN BRANCH),"B&G BLDG., JP LAUREL HIGHWAY, CASTILLO STREET  TANAUAN CITY BATANGAS",(043) 784-4620/(043) 572-0130
613,LAGUNA DIAGNOSTIC CENTER (STA CRUZ BRANCH),"3999 QUEZON AVENUE, STO. ANGHEL SUR  SANTA CRUZ LAGUNA",(049) 501-0675/(049) 810-4639
614,LAGUNA DIAGNOSTIC CENTER (SINILOAN BRANCH),"2ND FLOOR CHED BDLG., G. REDOR STREET  SINILOAN LAGUNA",(049) 501-2103
615,LAGUNA DIAGNOSTIC CENTER (INFANTA BRANCH),"2ND FLOOR GLORIA BLDG., DE JULIO STREET  INFANTA QUEZON",(049) 576-2714
616,LAGUNA DIAGNOSTIC CENTER (NAGCARLAN BRANCH),BONIFACIO STREET CORNER J CORONADO BRGY. POBLACION 1 NAGCARLAN LAGUNA,(049) 563-3986
617,LAGUNA DIAGNOSTIC CENTER (JP BRANCH),NATIONAL ROAD BRGY. BUCAL CALAMBA CITY LAGUNA,(049) 502-3753
618,LAGUNA DIAGNOSTIC CENTER (STA. ROSA BRANCH),NATIONAL HIGHWAY BRGY TAGAPO SANTA ROSA CITY LAGUNA,(049) 827-4753
619,HOLYLIFE HOSPITAL,"19 LOT 3A-9 PRESIDENT QUEZON ST. LIFEHOMES SUBDIVISION,  PASIG CITY METRO MANILA",(02) 7748-3501
620,SPECIALISTS CLINIC & DIAGNOSTIC LABORATORY INC. (MIDSAYAP BRANCH),STO NINO STREET POBLACION 5 MIDSAYAP COTABATO,(064) 229 9335
621,ABR MULTISPECIALTY CLINIC DIAGNOSTICS & PHARMACY,TAVERA STREET BRGY. POBLACION PAKIL LAGUNA,(049) 557-2679
622,SPECIALISTS CLINIC & DIAGNOSTIC LABORATORY INC. (COTABATO BRANCH),"2/F MARQUEZ BLDG., COR. DON ROMAN VILO AND DON RUFINO ALONZO ST.  COTABATO CITY MAGUINDANAO",(064) 557-2204
623,ST. JOHN BIOCARE & DIALYSIS CENTER FOUNDATION INC,1ST - 2ND FLOOR CASMAN BUILDING 1198 QUEZON AVENUE BARANGAY PALIGSAHAN DISTRICT 4 QUEZON CITY  QUEZON CITY METRO MANILA,(02) 8921-9044
624,NONATO MULTISPECIALTY CLINIC & DIAGNOSTIC CENTER,TRECE INDANG ROAD BARANGAY LUCIANO TRE TRECE MARTIRES CITY CAVITE,(046) 419-2839
625,JABEZ MEDICAL CENTER,"JP LAUREL STREET BRGY. 11 NASUGBU, INCL. PUNTA BATANGAS",(043) 416-0446
626,SPECIALISTS CLINIC & DIAGNOSTIC LABORATORY INC. (PARANG BRANCH),LANGKA STREET TOWNSITE POBLACION 1 PARANG MAGUINDANAO,(064) 425 0143
627,SPECIALISTS CLINIC & DIAGNOSTIC LABORATORY INC. (KABACAN BRANCH),RIZAL AVENUE NATIOAL HIGHWAY  KABACAN COTABATO,(064) 572 0968
628,ONE RESCUE - EMS,VALENCIA ROAD TABUC-TUBIG DUMAGUETE CITY NEGROS ORIENTAL,(035) 422-9110
629,HEALTH INDEX MULTISPECIALTY AND LYING-IN CLINIC,"#02 MALINIS COMPOUND, MAMBOG 1   BACOOR CAVITE",(046) 471-0996
630,EAGLE ROCK DIALYSIS AND WELLNESS CENTER INC.,"#17 DART CORNER CAMARO STREET, FAIRVIEW PARK SUBDIVISION FAIRVIEW QUEZON CITY METRO MANILA",(02) 542-1638/(02) 936-3821
631,THERAMEDICA HEALTH SYSTEMS INC,BLK 2 LOT 5 GOVERNORS DRIVE BRGY BULIHAN SILANG CAVITE,(02) 519-4853 / (046) 460-4788 / 890-1626
632,MALOLOS MATERNITY HOSPITAL AND EYE CENTER,MCARTHUR HIGHWAY SUMAPANG MATANDA  MALOLOS CITY BULACAN,(044) 791-1938
633,MALOLOS HEALTH PROVIDERS INCORPORATED (FORMERLY MALOLOS HIGH PRECISION DIAGNOSTIC AND HEALTHCARE CENTER),#169 PASEO DEL CONGRESO  BRGY. LIANG  MALOLOS CITY BULACAN,(044) 791-0089
634,JANCOR DIAGNOSTICS AND MEDICAL INC.,"JANCOR BUILDING, BLOCK 22 LOT 43, MAIN STREET, COSTA VERDE SUBDIVISION  ROSARIO CAVITE",(046) 432-3977
635,PRIMACARE MEDICAL LABORATORY & POLYCLINIC (ROSARIO BRANCH),GF ROSARIO COMMERCIAL CENTER GENERAL TRIAS DRIVE  GENERAL TRIAS CAVITE,(046) 437-6628
636,PRIMACARE MEDICAL LABORATORY & POLYCLINIC (DASMARINAS BRANCH),#2 GOVERNOR DRIVE LANGKAAN 2  DASMARIÃ‘AS CAVITE,(046) 489-9195
637,HEMOTEK RENAL CENTER INC. (QUEZON AVENUE BRANCH),1231 QUEZON AVENUE CORNER JOSE ABAD SANTOS STREET  QUEZON CITY METRO MANILA,(02) 8332-3358
638,HEMOTEK RENAL CENTER INC. (FESTIVAL MALL BRANCH),"FILINVEST FESTIVAL SUPERMALL, 2ND LEVEL FILINVEST  MUNTINLUPA METRO MANILA",(02) 8659-3508
639,HEMOTEK RENAL CENTER INC. (METRO EAST MALL BRANCH),"ROBINSONS METRO EAST, 4TH LEVEL BODY SENSES AREAS, MARCOS HIGHWAY SANTOLAN PASIG CITY METRO MANILA",(02) 571-6386
640,HEMOTEK RENAL CENTER INC. (WILSON SAN JUAN BRANCH),"HEALTHCUBE BUILDING, 3RD LEVEL WILSON STREET SAN JUAN MANILA METRO MANILA",(02) 571-8991
641,HEMOTEK RENAL CENTER INC. (CAVITE BRANCH),"2/F BACOOR DOCTORS MEDICAL CENTER, MOLINO BLVD.  BRGY. BAYANAN BACOOR CAVITE",(046) 402-3367
642,HEMOTEK RENAL CENTER INC. (PAMPANGA BRANCH),"MCARTHUR HIGHWAY, BARRIO BALITI   SAN FERNANDO CITY PAMPANGA",(045) 455-0198
643,HEMOTEK RENAL CENTER INC. (CABANATUAN BRANCH),"2/F ANNEX BUILDING, WESLEYAN UNIVERSITY MEDICAL CENTER, TANDANG SORA STREET  CABANATUAN CITY NUEVA ECIJA",(044) 940-8602
644,HEMOTEK RENAL CENTER INC. (URDANETA BRANCH),"NATIONAL HIGHWAY, NANCAYASAN  URDANETA PANGASINAN",(075) 653-0816
645,HEMOTEK RENAL CENTER INC. (METRO LIPA HOSPITAL BRANCH),"METRO LIPA MEDICAL CENTER, JP LAUREL HIGHWAY BRGY. MARAOUY LIPA CITY BATANGAS",(043) 774-9701
646,NEPHRO SYSTEMS PHILS INC.,G/F EASTGATE CENTER 169 EDSA MANDALUYONG CITY  MANDALUYONG CITY METRO MANILA,(02) 531-5344/(02) 534-3226
647,"NEPHROLOGY CENTER OF MANILA, INC.","1963 TAFT AVENUE, BRGY. 703, ZONE 077 MANILA METRO MANILA",(02) 536-5108 TO 10
648,LIFELINE 16911 MEDICAL INC.,GF VALGOSONS BUILDING 8484 KM 18 EAST SERVICE ROAD SUCAT  PARAÃ‘AQUE METRO MANILA,(02) 8839-2520 TO 30
649,NEPHROLOGY SERVICES PHILS INC-QUEZON CITY,G/F BENCOM BUILDING PHIL-AM VILLAGE QUEZON CITY METRO MANILA,(02) 926-2821/(02) 926-7280/(02) 412-2521/(02) 412-2523
650,NEPHROLOGY CENTER OF FAIRVIEW,9 COMMONWEALTH AVENUE COMMONWEALTH QUEZON CITY METRO MANILA,(02) 442-4104
651,NEPHROLOGY CENTER OF CALOOCAN,522 EDSA BIGLANG AWA COR URBANO PLATA STREET  CALOOCAN CITY METRO MANILA,(02) 361-8283/(02) 361-8484
652,NEPHROLOGY CENTER OF LAS PINAS,440 ALABANG ZAPOTE ROAD TALON UNO LAS PIÃ‘AS CITY METRO MANILA,(02) 800-3775/(02) 800-4579
653,NEPHROLOGY SERVICES PHILS INC-PARANAQUE,G/F ASIAVEST BUILDING BETTER LIVING SUBDIVISION PARAÃ‘AQUE METRO MANILA,(02) 8846-8817
654,NEPHROLOGY CENTER OF NORTH CALOOCAN,G/F LETICIA BUILDING 555 GOV RECIO GARCIA STREET BANKERS VILLAGE CALOOCAN CITY METRO MANILA,(02) 961-8974/(02) 961-8980
655,NEPHROLOGY CENTER OF MANILA-STA MESA,3343 RAMON MAGSAYSAY BOULEVARD STA. MESA MANILA METRO MANILA,(02) 713-1166/(02) 713-1061
656,NEPHROLOGY CENTER OF PASIG INC.,53 DR SIXTO ANTONIO AVENUE KAPASIGAN  PASIG CITY METRO MANILA,(02) 650-2129
657,NEPHROLOGY CENTER OF MALOLOS BULACAN,UNIT 8 BLDG NEW SANTOS CLINIC COMP  MALOLOS CITY BULACAN,(044) 790-6553
658,NEPHROLOGY CENTER OF BICOL,MIRANDA PLAZA BUILDING RIZAL STREET  LEGAZPI CITY ALBAY,0908 526-3587 /(052) 742 5828 
659,NEPHROLOGY CENTER OF CAVITE CENTER HEMODIALYSIS CENTER,3/F ONE CT TOWER JP RIZAL STREET BRGY. ASIS III MENDEZ MENDEZ (MENDEZ-NUÃ‘EZ CAVITE,(046) 861-3013
660,NEPHROLOGY CENTER OF CAVITE-IMUS,UNIT 105 SUN CITY PLAZA BLDG AGUINALDO HI WAY  IMUS CAVITE,(046)402-0255/(046) 402-0265/(046) 402-3592
661,NEPHROLOGY CENTER OF CEBU CITY,G/F AND 3/F JUANITA BLDG ESCARIO STREET COR GORORDO AVENUE BRGY KAMPUTHAW CEBU CITY  CEBU CITY CEBU,(032)266-1028/(032)239-7770
662,NEPHROLOGY CENTER OF ST. ALEXIUS,3/F BEGHARD BLDG ALEXIAN BROTHERS HEALTH & WELLNESS CENTER MAC ATRHUR HIGHWAY MATINA DAVAO CITY BRGY. MATINA DAVAO CITY DAVAO DEL SUR,(082) 297-4355
663,NEPHROLOGY CENTER OF CARAGA INC.,UNIT 10 11 & 12 RC INTINO BLDG PAREJA SUBD COR JC AQUINO AVENUE BUTUAN CITY  BUTUAN CITY AGUSAN DEL NORTE,(085) 341-4488/(085) 341-3641
664,NEPHROLOGY CENTER OF CAGAYAN DE ORO DIALYSIS INC.,G/F CDO PHYSICIANS BLDG P BURGOS COR CHAVEZ STREET CAGAYAN DE ORO CITY  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 231-2014
665,NEPHROLOGY CENTER OF TAGUM CITY INC.,TAGUM DOCTORS COLLEGE HIGHWAY 54 RABE SUBDIVISION TAGUM CITY  TAGUM CITY DAVAO DEL NORTE,(082) 218-8519
666,NEPHROLOGY CENTER OF CALAMBA,G/F MILAN PRESTIGE BLDG NATIONAL HIGHWAY BRGY. HALANG CALAMBA CITY LAGUNA,(049) 530-8189/(049) 530-9819
667,MEDITROOPS LABORATORY AND DIAGNOSTICS,LOT 1 BLOCK 1 MAYON DRIVE MONTANA BURGOS RODRIGUEZ  CAINTA RIZAL,(02) 8806-5410
668,SANTA CRUZ LAGUNA POLYMEDIC INC.,780 NATIONAL HIGHWAY BARANGAY PATIMBAO  SANTA CRUZ LAGUNA,(049) 501-9377
669,PREMIERE MEDICAL & CARDIOVASCULAR LABORATORY,GF BELL KENZ TOWER #127 MALAKAS STREET QUEZON CITY  QUEZON CITY METRO MANILA,(02) 8426-9745/8928-0838
670,CHONG HUA HOSPITAL MANDAUE & CANCER CENTER,MANTAWI INTERNATIONAL DRIVE NORTH RECLAMATION AREA  MANDAUE CITY CEBU,(032) 233-8000
671,TEBOW CURE HOSPITAL,J P LAUREL AVENUE CORNER BANAWE STREET  BRGY W AQUINO LANANG DAVAO CITY DAVAO DEL SUR,(082) 300-5345
672,CLINICA NG MASA,"CACAYORIN BUIDLING, NEW PUBLIC MARKET BRGY. MAGUGPO WEST TAGUM CITY DAVAO DEL NORTE",(084) 308-1061
673,ILOILO DOCTORS CLINIC & LABORATORY SERVICES (ROBINSONâ€™S PLACE BRANCH),MABINI STREET  ILOILO CITY ILOILO,(033) 508-8500
674,ILOILO DOCTORS CLINIC & LABORATORY SERVICES (SM CITY ILOILO BRANCH),"LOWER GROUND FLOOR, SM CITY ILOILO, BENIGNO AQUINO AVENUE MANDURRIAO ILOILO CITY ILOILO",(033) 508-3001
675,HEALTHFIRST CLINICS (CUBAO BRANCH),"3RD FLOOR SPARK PLACE,12 AVE., P TUAZON BLVD., SOCORRO  QUEZON CITY METRO MANILA",(+632) 8 282 4513 | 0977 835 3833
676,A ZARATE GENERAL HOSPITAL,ATLAS COMPOUND NAGA ROAD BRGY. PULANG LUPA LAS PIÃ‘AS CITY METRO MANILA,(02)8874-6903 /8983-5363/8404-4181
677,BAUAN DOCTORS GENERAL HOSPITAL,BAUAN MABINI ROAD   BATANGAS CITY BATANGAS,(043) 727-2237
678,THE MEDICAL CITY CLINIC (SAN MATEO BRANCH),3/F SM CITY SAN MATEO GENERAL LUNA ST BRGY AMPID I SAN MATEO RIZAL,(02) 8656-0168 / 8656-0154
680,REHAB SOLUTIONS INC.,GORORDO AVENUE  CEBU CITY CEBU,(032) 233-9314
681,FLORIDABLANCA DOCTORS HOSPITAL INC., VALDEZ FLORIDABLANCA PAMPANGA,(045) 626-5360
682,INTERPATH LABORATORIES INC.,UNIT 216-217 MORE BUSINESS CENTER ORTIGAS AVENUE EXTENSION BRGY. SAN ISIDRO  TAYTAY RIZAL,(02) 8570-2712
683,"SUPREME CARE MEDICAL DIAGNOSTIC AND IMAGING CENTER, INC.",BARANGAY SAN JUAN T CLAUDIO ST MORONG RIZAL BARANGAY SAN JUAN T  MORONG RIZAL,(02) 369-2504
684,"MULTICARE MEDICAL AND DIAGNOSTIC CENTER, INC.",3RD FLOOR GEMPC BUILDING TIMOG AVENUE CORNER  QUEZON CITY METRO MANILA,(02) 8931-6963/8931-6953
685,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - VALENZUELA, INC",548 MC ARTHUR HIGHWAY MALANDAY VALENZUELA CITY METRO MANILA,(02) 8332-0531 / 8366-0000 LOC 618
686,POLOMOLOK DIAGNOSTIC CLINIC & PHARMACY,NATIONAL HIGHWAY PUROK MATULUNGIN BRG POLOMOLOK COTABATO,(083) 225-2953
687,METROPOLITAN POLYMEDIC COMMUNITY HOSPITAL INC.,FEEDER ROAD 1 PUROK 3 TIBAL-OG SANTO TOMAS DAVAO DEL NORTE,(084) 8290004 ; (084) 8290005
688,TIBUNGCO DOCTORS HOSPITAL,NATIONAL HIGHWAY BRGY TIBUNGCO DAVAO CITY DAVAO DEL SUR,(082) 238-0774
689,FDM MOBILE AND DIAGNOSTIC CLINIC (FORMERLY PROMED MEDICAL AND DIAGNOSTIC CLINIC),"Don Omofre Building II, National Hwy, Cabuyao, 4025 Laguna  CABUYAO LAGUNA",(049) 304-7122
690,THE MEDICAL CITY CLINIC (FESTIVE WALK ILOILO (FORMERLY TMC CLINIC ROBINSONS ILOILO),"B11-B14, 2/F FESTIVE WALK MALL ANNEX, MEGAWORLD BLVD BRGY BUHANG TAFT NOR ILOILO CITY ILOILO",(033) 328-7060
691,GAMEZ HOSPITAL,218 JP RIZAL STREET  CALAMBA CITY LAGUNA,(049) 545-3461
692,BATANGAS CLINICAL LABORATORY,RAMOS BUILDING 32 D SILANG STREET  BATANGAS CITY BATANGAS,(043) 980-5076 / (043) 722-2473
693,PEAK ORTHOPEDIC & SPORTS PHYSICAL THERAPY (MARFORI BRANCH),GOLD STREET CORNER GREENHILLS DRIVE  DAVAO CITY DAVAO DEL SUR,(082) 305-4111
694,NOVAGEN EYE CENTER CO.,UNIT 008-009 AX3 BLDG SM CITY FAIRVIEW FAIRVIEW QUEZON CITY METRO MANILA,(02) 8366-5162/8788-2020
695,SPECIALIST CARE DIALYSIS & DIAGNOSTIC CENTER,"Unit 105, Guerdon Commercial Center, Rainbow Corner Katipunan Street, Marikina, 1811 Metro Manila  MARIKINA CITY METRO MANILA",(02) 8370-4056
696,KAIROS MATERNITY AND GENERAL HOSPITAL,NATIONAL ROAD BRGY. MUZON SAN JOSE DEL MONTE C BULACAN,(044) 815-4653 / (02) 994-3868
697,PROVIDENCE HOSPITAL INC.,1515 QUEZON AVENUE  QUEZON CITY METRO MANILA,(02) 8558-6999/8921-3838
698,UNIHEALTH PARANAQUE HOSPITAL AND MEDICAL CENTER INC, DR A. SANTOS AVE SUCAT ROAD BRGY SAN ISIDRO PARAÃ‘AQUE METRO MANILA,(02) 8832-0636 / 8832-0641 TO 43 / 8832-0646 TO 49
699,GENTRI MEDICAL CENTER AND HOSPITAL INC.,"COLORADO, GOVERNOR'S DRIVE BRGY. MANGGAHAN GENERAL TRIAS CAVITE",(046) 424-0888
700,R. DE C. GALVEZ MEDICAL CENTER INC.,"Cagayan Valley Rd, San Juan, San Ildefonso Bulacan SAN JUAN SAN ILDEFONSO BULACAN",(044) 797-0510
701,THE MEDICAL CITY CLINIC (SM - MALL OF ASIA BRANCH),WZ-201-202 2/F SM MALL OF ASIA WELLNESS ZONE J.W DIOKNO BLVD. MOA COMPLEX  PASAY CITY METRO MANILA,(02) 8865-6948 / 8877-0148
702,"EXACT CHECK DIAGNOSTIC CENTER, INC.",UNIT 5 238  BANAWE CORNER PAGATAAN AND PANALTURAN STREETS BRGY. MANRESA QUEZON CITY METRO MANILA,(02) 8363-9228
703,THE PREMIER MEDICAL CENTER ,LOT 2 AMVEL BUSINESS PARK BRGY. SAN DIONISIO PARAÃ‘AQUE METRO MANILA,(02) 8865-2200
704,HI-PRECISION DIAGNOSTICS (LILOAN BRANCH),NORTH COASTAL ROAD LOOC POBLACION LILOAN CEBU,(032) 517-6278
705,MV SANTIAGO MEDICAL CENTER,"BRGY DE OCAMPO, TRECE MARTIRES, CAVITE BRGY. DE OCAMPO TRECE MARTIRES CITY CAVITE",(046) 412-7482 / 419-0174
706,DIVINE MERCY HOSPITAL (TARLAC BRANCH),MCARTHUR HIGHWAY ANAPUL BAMBAN  BAMBAN TARLAC,(045) 491-5947
707,METRO ANTIPOLO HOSPITAL AND MEDICAL CENTER INC.,1348 MARCOS HIGHWAY  MAYAMOT ANTIPOLO CITY RIZAL,(02) 8722-3208/8782-1754
708,SKYLINE HOSPITAL AND MEDICAL CENTER,SKYLINE DRIVE CORNER QUIRINO HIGHWAY  BRGY TUNGKONG MANGGA SAN JOSE DEL MONTE C BULACAN,(02) 263-6700 / (02) 7211- 5245
709,MANILA HEARING AID CENTER INC. (PASAY CITY BRANCH),UNIT 204 SOUTH MALL PARKING SM MALL OF ASIA  PASAY CITY METRO MANILA,(02) 8556-0589
710,MEDICUS (CEBU BRANCH),ZR & DC BUILDING OSMENA BLVD COR LLORENTE ST. BRGY. CAPITOL SITE CEBU CITY CEBU,(032) 254-8949
711,RAKKK PROPHET MEDICAL CENTER INC.,KM 194 MAHARLIKA HIGHWAY  BRGY ROSARIO  GUMACA QUEZON,(042) 317-7856 TO 58
712,HEALTHWAY QUALIMED HOSPITAL SAN JOSE DEL MONTE (QUALIMED SJDM),ALTARAZA  BRGY TUNGKONG MANGGA SAN JOSE DEL MONTE C BULACAN,(044) 307-0000 / (02) 906-7055
713,HOPS-HEALTH INC. OUTPATIENT SERVICES,TIGBAO TALAMBAN  CEBU CITY CEBU,(032) 236-9420
714,METROPOLITAN MEDICAL CENTER (NASUGBU BRANCH),"KM. 72 SITIO BATULAO, NASUGBU BRGY. KAYLAWAY NASUGBU, INCL. PUNTA BATANGAS",(02) 696-4374
715,HI-PRECISION DIAGNOSTICS (BAGUIO BRANCH),"2/F CYA CENTRUM, MILITARY CUT OFF, KENNON ROAD   BAGUIO CITY BENGUET",(074) 423-2358/(074) 423-2359
716,HI-PRECISION DIAGNOSTICS PLUS (ROSARIO BRANCH),NATIONAL ROAD  BRGY. SAN ROQUE ROSARIO BATANGAS,(043) 740-8824
717,PROVISION EYE CARE NETWORK INC.,SILVER CITY TIENDESITAS EN FRONTERA VERDE   PASIG CITY METRO MANILA,09171372618
718,NY THERASPINE INC. (MAKATI BRANCH),2135 DON CHINO ROCES EXTENSION   MAKATI CITY METRO MANILA,(02) 8921-9831
719,NY THERASPINE INC (QUEZON CITY BRANCH)," #100 2ND FLOOR, SCT. DR. LAZCANO ST. TOMAS MORATO BRGY LAGING HANDA QUEZON CITY METRO MANILA",(02) 8375-1035 / 88921-8931
720,THE ONE FAMILY CLINIC AND LABORATORY,"LOWER G/F ONE PAVILLON MALL, R. DUTERTE STREET, BANAWA  BRGY. GUADALUPE CEBU CITY CEBU",(032) 261-0643
721,DYNAMICARE MEDICAL CLINIC & DIAGNOSTIC LABORATORY,"4TH FLOOR NORTHGATE PLAZA, CONGRESSIONAL AVENUE  BRGY. BAHAY TORO QUEZON CITY METRO MANILA",(02) 355-1217
722,LOPEZ MEDICAL AND X RAY CLINIC INC.,"2F CASA BELLA BUILDING, 1046 QUEZON AVENUE  QUEZON CITY METRO MANILA",(02) 372-5026
723,"GLOBAL MEDICAL CENTER OF LAGUNA, INC",NATIONAL ROAD BRGY BANLIC  CABUYAO LAGUNA,(049) 544-5812
724,HI-PRECISION DIAGNOSTICS (VALENZUELA BRANCH),"UNIT 3&4 ARCA NORTH COMPOUND, 286 MACARTHUR HI-WAY  BRGY. KARUHATAN VALENZUELA CITY METRO MANILA",(02) 8236-3280 / 8282-9141
725,TAAL POLYMEDIC HOSPITAL & MEDICAL CENTER,DIVERSION ROAD CARSUCHE TAAL BATANGAS,(043) 740 6283 / (043) 408-9587
726,IMMANUEL DIAGNOSTIC AND DRUG TESTING LABORATORY,"JP LAUREL STREET DAANG KAWAD   NASUGBU, INCL. PUNTA BATANGAS",(043) 416-0483 / (0917) 107-2862
727,METROHEALTH FAMILY CLINIC,UNIT 1A & B HARRISON RESIDENCES 1971 FB HARRISON STREET PASAY CITY  PASAY CITY METRO MANILA,(02) 263-6654
728,ST. THERESE MEDICAL CLINIC (PCP),BADIAN CEBU  CEBU CITY CEBU,(032) 512-6362
729,BINAKAYAN HOSPITAL AND MEDICAL CENTER INC.,"175 COVELANDIA, BINAKAYAN, KAWIT CAVITE BRGY. BALSAHAN BISITA KAWIT CAVITE",(046) 516-0500 / (046) 434-1484
730,SAA HEALTH CARE (SAN ANTONIO ABAD HEALTH CORPORATION),SAA BUILDING 757 C RAYMUNDO AVENUE MAYBUNGA  PASIG CITY METRO MANILA,(02) 8641-3912
731,ELEANOR MEDICAL CLINIC (PCP), ILIHAN TOLEDO CITY CEBU,(032) 322-5959
732,TRIPLE B FAMILY HEALTH CARE CORP.,"J P LAUREL STREET, BAJADA BRGY. BUHANGIN DAVAO CITY DAVAO DEL SUR",(082) 287 - 0066
733,UIC CLINICAL LABORATORY,BONIFACIO STREET POBLACION DISTRICT DAVAO CITY DAVAO DEL SUR,(082) 2278286
735,AMERICAN HEARING CENTER CORPORATION,JADE BLDG 71 AURORA BLVD  QUEZON CITY METRO MANILA,7158366
736,AMERICAN HEARING CENTER CORPORATION (PODIUM),BASEMENT 1 18 ADB AVENUE ORTIGAS CENTER   MANDALUYONG CITY METRO MANILA,6332678
737,MEDICAL EXPERTS DIAGNOSTICS AND CLINIC,NATIONAL ROAD BRGY. SAN ROQUE ROSARIO BATANGAS,(043) 740-8825/(02) 519-4474
738,HRD SPECIALTY CLINIC AND DIAGNOSTIC SERVICES (MAIN BRANCH),BANIC MAMATID CABUYAO LAGUNA,(049) 502-5114 / (0925) 611-2843
739,TRIPTORS DIAGNOSTIC CENTRE - GRAND CENTRAL,B-3 LUCENA GRAND CENTRAL ILAYANG DUPAY LUCENA CITY QUEZON,(042) 717-4958 / 660-4253
740,TOPHEALTH MEDICAL CLINICS INC.,2/F SM CITY SAN LAZARO  MANILA METRO MANILA,(02) 8353-4461 TO 62/8353-2788
741,HRD SPECIALTY CLINIC AND DIAGNOSTIC SERVICES (DASMARINAS BRANCH),SAN AGUSTIN III  DASMARIÃ‘AS CAVITE,(046) 416-3919 / (0925) 611-2540
